PetID,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed
7b75b46ea,2,1,266,265,2,1,2,7,1,1,2,2,2,1,4,0,41401,0,2,100
f205b0649,2,2,265,265,2,6,7,0,1,2,3,1,3,1,1,0,41401,0,13,48
59a3ee7ff,1,1,307,0,2,1,5,0,2,1,2,2,2,1,1,0,41401,0,2,1
f44ba1344,2,6,265,283,2,1,2,0,1,2,3,3,3,1,3,0,41326,0,0,100
9fb2a918d,1,1,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41326,0,5,87
a0cc9df12,2,4,265,299,1,3,5,7,2,2,1,1,2,1,2,0,41401,0,11,26
525b3147f,2,12,247,266,2,1,7,0,2,1,1,1,2,1,1,0,41326,0,4,27
8aa432e1d,1,9,78,78,1,1,0,0,3,2,1,1,2,1,1,0,41326,0,7,4
4e4ba4429,1,72,205,0,1,1,7,0,1,1,3,3,3,3,1,0,41326,0,3,15
fcb565f06,1,84,195,0,1,1,6,0,1,1,1,1,3,1,1,0,41326,0,4,72
6e9e0ce30,1,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41401,0,2,100
a120cae65,1,4,307,307,2,1,2,7,2,1,2,2,2,1,1,0,41401,0,1,30
01c6d3224,1,8,109,0,1,2,0,0,1,1,1,1,2,1,1,600,41326,0,5,10
cf8325fae,2,3,265,0,2,1,2,3,2,2,1,1,2,1,1,0,41326,0,0,7
4fc9dee58,1,4,307,0,1,2,4,0,3,1,1,1,2,1,1,0,41326,0,1,100
7adb2ab9b,2,2,265,0,2,1,0,0,2,2,2,1,2,1,1,50,41326,0,5,78
36e7f8d83,2,1,266,0,2,5,6,7,2,1,2,1,2,1,1,0,41401,0,1,73
1bff3e46f,1,6,213,205,2,1,2,7,2,2,1,1,2,1,2,1,41326,0,7,100
6f94c942b,2,4,266,0,1,4,7,0,1,1,2,1,2,1,1,0,41326,0,2,7
764fac30e,2,2,266,0,1,1,6,7,1,2,1,1,2,1,1,0,41326,0,4,27
a93c04347,2,1,276,249,1,1,7,0,4,2,2,1,2,1,1,0,41401,2,3,0
5b1528841,1,1,307,0,2,2,5,0,2,1,2,1,2,1,1,1,41327,0,3,2
b6004bb5d,2,6,266,0,3,1,0,0,2,1,2,2,3,1,6,0,41326,0,5,100
0b110b315,1,18,119,307,1,2,5,7,2,1,1,1,2,1,1,0,41327,0,4,100
ec53a8725,1,2,307,0,2,1,0,0,2,2,2,1,2,1,1,0,41330,0,3,100
0627105f6,1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,0,2,17
aa686c375,2,3,266,285,2,1,7,0,3,1,1,1,2,1,1,0,41401,0,2,3
d596234fc,1,12,179,0,1,2,0,0,1,2,1,1,2,1,1,0,41326,1,4,62
417c09a08,1,1,307,307,3,2,5,7,2,1,2,2,2,1,5,0,41401,0,5,29
29778124f,1,72,307,0,2,1,7,0,1,2,1,1,1,1,1,0,41326,0,2,100
fc0b0843c,1,1,307,307,2,1,2,3,1,1,2,2,2,1,1,0,41326,0,3,100
a2edd6e44,2,3,285,264,1,3,7,0,3,2,3,3,3,1,1,0,41325,0,2,3
8673a672d,2,8,268,266,1,7,0,0,2,1,1,1,1,1,2,0,41326,1,7,20
2d63b7c4f,1,7,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41326,2,6,54
50844e473,2,2,299,0,2,1,6,7,2,1,2,2,2,1,2,0,41401,0,1,26
029b05087,1,2,218,75,1,1,3,0,2,2,1,1,2,1,1,250,41401,0,5,57
3890935ed,1,3,307,307,2,1,2,7,2,2,1,1,2,1,1,0,41326,0,1,14
994450113,1,2,141,307,1,3,7,0,2,1,2,1,2,1,1,0,41326,0,2,7
109d21b69,1,22,307,0,1,2,5,0,2,1,1,3,1,1,1,0,41330,0,6,10
787086e9d,2,15,292,0,2,7,0,0,2,1,2,2,3,1,1,0,41367,0,1,100
abe9e2d91,2,2,266,0,1,7,0,0,2,2,1,1,2,1,1,0,41326,0,1,29
8cfba1686,2,14,266,0,1,3,7,0,2,1,1,1,1,1,2,0,41401,0,10,52
6c8487ccb,1,2,307,307,2,1,4,0,2,1,2,1,2,1,2,0,41327,0,3,74
0142670c8,1,4,307,0,1,5,0,0,2,2,2,2,2,1,1,0,41326,0,2,61
28dfa1c39,2,5,265,0,2,4,6,7,1,2,3,3,3,1,1,5,41326,0,0,100
9edf8fff1,2,18,266,0,1,6,7,0,2,1,2,1,1,1,1,0,41401,0,1,2
f5de721c8,1,9,307,0,2,1,2,0,2,1,1,1,1,1,1,0,41326,0,2,70
51398fac1,1,2,218,307,1,1,7,0,2,1,2,1,2,1,1,0,41326,0,3,53
99a994cb1,1,1,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,0,2,48
1a90a4805,1,42,307,0,1,2,0,0,3,1,2,2,2,2,1,0,41327,0,3,100
e8c9545c7,1,12,307,0,1,3,5,0,2,1,1,1,1,1,1,0,41326,0,1,100
fa21ddfa3,2,4,265,0,1,6,0,0,2,2,2,2,2,1,1,0,41326,0,5,25
1c8ab73ca,1,6,307,70,2,3,0,0,3,3,1,1,1,1,1,350,41336,0,8,18
628fd5227,1,7,237,218,1,5,0,0,2,2,1,1,1,1,1,250,41326,0,3,100
2f3ff5116,1,9,307,307,1,1,0,0,2,2,2,1,2,1,1,0,41401,0,2,22
4dd8dd451,1,2,307,0,1,1,2,0,1,1,1,1,2,1,1,0,41327,0,5,82
0e922caab,1,12,179,0,1,2,0,0,1,2,1,1,2,1,1,300,41326,0,5,0
2910b5c7e,2,12,264,0,1,4,7,0,3,2,1,1,2,1,1,100,41401,0,1,100
f40b68c08,1,1,307,0,2,5,7,0,2,2,2,2,2,1,1,0,41327,0,2,22
2ce86e3a2,1,3,307,0,1,1,2,3,2,1,1,1,2,1,1,0,41401,0,2,20
c86c76857,2,2,295,0,1,3,0,0,2,1,2,1,2,1,1,100,41326,0,3,10
163919bd1,2,5,292,265,1,2,5,0,2,2,2,2,2,1,1,50,41326,0,5,14
aa795e561,1,3,307,0,2,2,0,0,2,2,2,2,2,1,1,0,41401,0,3,100
a355a6873,1,5,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,5,86
30dbb2e50,1,2,307,0,1,1,7,0,3,1,2,1,3,1,1,0,41401,0,1,100
b41cb9e51,2,1,265,0,2,1,0,0,2,2,1,1,2,1,1,0,41326,1,2,2
cf74891fd,2,20,265,254,1,1,7,0,2,2,1,1,1,1,1,0,41330,0,7,48
7a31d17c7,1,3,307,0,2,3,0,0,2,2,1,2,2,1,1,0,41326,0,1,100
b3a42fc4a,1,3,39,188,1,1,7,0,2,1,1,1,2,1,2,0,41326,0,6,73
5d0551d53,2,8,266,0,2,3,6,7,2,1,1,1,1,1,1,0,41326,1,8,10
c538efa0b,2,4,266,0,1,2,6,0,2,1,2,2,2,1,1,0,41401,0,5,4
deb43659b,1,2,307,307,1,2,7,0,2,2,1,1,2,1,1,0,41326,0,4,7
0935ab38b,1,48,147,0,1,7,0,0,1,2,1,1,3,2,1,100,41327,0,1,100
7fa04723a,2,3,266,0,1,2,0,0,1,1,2,1,2,1,1,0,41327,0,2,28
443682c9f,2,12,306,0,1,1,7,0,2,2,1,1,2,1,1,0,41401,0,3,100
0d150e90c,1,18,307,0,1,2,0,0,2,2,1,1,2,1,1,0,41336,0,5,100
a43d578dd,1,2,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41401,0,3,6
18da94e9d,1,2,307,0,1,1,2,5,1,1,2,1,2,1,1,0,41326,0,4,72
c2816bdff,2,24,292,266,2,2,5,0,1,1,1,3,1,1,1,0,41326,0,3,1
05a05d562,2,12,265,0,1,1,7,0,2,2,1,1,1,1,1,0,41332,0,3,3
975d32d75,2,30,266,0,2,1,6,0,1,1,2,1,1,1,1,0,41401,0,4,100
5b72e14bf,1,2,307,187,1,1,0,0,3,1,2,1,2,1,4,0,41326,1,18,85
baefc2985,1,2,307,0,1,1,2,0,2,1,2,2,2,1,1,0,41326,0,1,76
d1ef3e54a,2,12,265,0,1,2,7,0,3,2,1,1,2,1,2,0,41326,0,6,55
5dbd7f61b,1,2,307,0,2,1,2,0,2,1,3,3,2,1,1,0,41326,0,1,12
7711871ae,2,2,266,300,3,1,2,0,1,1,2,2,1,1,3,0,41401,0,5,2
cb256c605,2,6,266,0,2,3,4,5,2,1,1,1,2,1,1,0,41326,0,1,100
776354931,1,24,307,0,1,1,2,0,2,2,3,3,3,1,3,0,41324,0,2,100
6bd1fee01,2,7,266,0,2,2,4,6,2,1,2,1,1,1,1,0,41326,0,5,100
931fd5858,1,1,307,0,1,2,7,0,2,2,2,2,2,1,1,0,41326,0,4,1
a25a5ad9e,2,5,266,0,1,1,7,0,2,2,2,2,2,1,1,0,41401,0,5,28
4b148edd2,2,1,265,0,2,7,0,0,1,2,2,1,2,1,1,0,41335,0,10,2
9191da7b5,2,2,266,0,2,1,2,6,1,2,1,1,3,2,1,0,41326,0,3,100
6d7d7753c,2,1,266,0,3,4,5,7,1,1,2,2,3,1,3,0,41326,0,22,51
abfad94f2,1,1,307,0,3,1,5,7,2,1,3,3,3,2,4,0,41401,0,1,100
36a216956,1,50,195,0,2,1,6,0,1,2,1,1,3,1,1,100,41330,0,4,80
474bccd75,1,48,307,307,1,1,2,0,2,2,1,1,1,1,1,0,41326,0,2,12
38cf8b2f5,2,1,266,0,2,1,7,0,2,1,2,1,2,1,1,0,41326,1,8,22
60bf93971,1,3,307,307,1,2,0,0,3,1,2,2,3,1,1,0,41401,0,3,10
bb15b64ea,1,3,307,0,2,1,7,0,2,1,3,3,2,1,1,0,41326,0,9,28
7bfe95866,1,2,307,307,3,1,2,7,2,1,2,2,2,1,4,0,41326,0,4,4
303b3795f,2,24,266,0,1,4,7,0,2,1,2,2,2,2,1,0,41332,0,2,100
6dbc5c968,2,3,266,264,3,1,6,7,3,2,1,1,2,1,4,0,41327,0,9,77
728a08a8b,1,12,307,0,2,2,7,0,2,2,1,1,1,1,1,100,41327,0,3,100
1f6849a20,2,5,266,266,1,1,7,0,3,1,3,3,3,1,1,0,41326,0,13,6
c37774c72,2,14,264,265,2,3,5,7,2,3,2,2,2,1,1,0,41401,0,2,87
3089a5bd8,1,27,179,0,2,1,0,0,2,2,1,1,2,1,1,200,41326,0,2,21
6c7efd1a5,2,4,299,0,1,6,0,0,1,1,2,1,2,1,1,0,41326,0,12,81
a5dc02b69,2,48,299,0,1,1,2,3,2,2,1,1,1,1,1,0,41401,0,5,100
fd71f9fb4,1,2,307,0,2,4,0,0,2,1,2,1,2,1,1,0,41401,0,7,15
382cc2865,2,4,266,0,3,1,2,5,1,3,3,3,3,1,3,50,41326,0,3,19
fdd191ba0,1,5,307,307,3,1,6,0,2,1,3,3,3,1,2,0,41324,0,8,100
d768c4324,2,15,266,0,1,3,7,0,3,1,1,1,1,1,1,0,41326,0,6,46
7433339b9,2,3,266,0,3,1,6,7,2,1,2,2,2,1,3,0,41326,0,0,100
e6ae12115,2,24,265,0,2,1,2,7,2,2,1,1,1,1,1,0,41401,0,5,3
4479fdc71,2,16,266,0,1,3,4,0,3,1,1,1,1,1,1,0,41326,0,4,22
9faeb952b,1,1,189,0,1,1,0,0,3,1,1,1,2,1,1,350,41336,0,3,3
964cf32b1,2,2,266,0,3,1,2,6,1,1,2,3,2,1,3,0,41326,0,3,5
400c2ccab,2,4,266,0,2,2,4,7,1,1,1,1,2,1,1,0,41401,0,4,18
d8b0d6ad9,2,1,266,0,1,6,7,0,1,1,2,2,2,1,1,0,41326,0,3,53
19480ca6f,2,2,265,265,3,1,6,0,1,1,2,2,3,1,2,0,41332,0,4,25
c6a3de42f,2,4,266,0,2,2,6,7,2,1,2,2,2,1,1,0,41326,0,3,13
983160271,1,1,307,0,2,1,7,0,1,1,2,2,2,1,1,0,41401,0,1,20
fc52c0c82,1,0,103,307,2,1,2,0,2,3,3,3,3,1,1,0,41401,0,5,3
0db65104a,1,1,307,0,1,1,0,0,2,1,2,1,2,1,1,0,41401,0,5,20
058d37dda,2,11,266,266,3,1,3,7,2,2,1,1,1,1,6,0,41326,0,5,100
33f89cb83,1,1,307,0,2,1,0,0,2,1,1,1,2,1,1,1,41326,0,4,9
9cf90beff,1,1,307,307,1,1,2,0,2,1,2,2,2,1,1,20,41326,0,5,15
d64f2a210,2,3,266,0,3,1,2,6,2,1,1,1,2,1,5,0,41326,0,7,53
26161bad4,1,3,307,0,1,1,2,7,2,1,1,1,1,1,1,0,41326,0,6,100
08267e916,1,48,307,307,1,2,0,0,2,2,1,1,2,1,1,0,41326,0,3,100
f344595d7,1,1,307,307,3,1,2,0,2,1,1,1,2,1,3,0,41326,0,5,100
2a6bb49f5,1,3,307,0,1,2,0,0,2,2,1,1,2,1,1,50,41326,0,2,100
abf0f2579,1,2,307,0,2,1,2,7,2,1,3,3,2,1,1,0,41326,0,1,28
239844635,2,84,265,266,2,4,6,7,1,1,1,1,1,1,1,0,41326,0,1,100
731a2ef80,1,5,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41330,0,4,69
081f88f27,1,1,307,0,1,2,0,0,2,1,2,2,2,1,1,0,41332,0,1,5
93f758039,1,1,307,0,3,1,2,5,2,1,2,2,2,1,5,0,41330,0,5,71
9849173ee,2,4,265,0,1,1,6,7,2,2,1,1,1,1,1,0,41401,0,10,100
34f6111bf,1,2,152,307,1,1,2,0,1,1,2,1,2,1,1,0,41401,0,5,17
2f260b3da,1,20,103,0,1,2,0,0,3,3,1,3,1,1,1,0,41326,0,0,100
9e1caf559,2,1,266,0,1,7,0,0,2,1,2,1,2,1,1,0,41401,0,15,17
5a4b92653,2,5,299,0,2,1,6,7,1,3,1,1,3,1,1,0,41326,0,4,21
da424cdd7,2,12,266,0,2,6,7,0,2,1,2,1,1,1,1,50,41326,0,4,55
96a35824d,1,36,109,0,1,3,0,0,2,2,1,1,3,1,1,0,41332,0,2,16
c1a9d98fb,2,9,299,292,3,4,5,6,2,1,1,1,1,1,2,0,41326,0,17,16
954a6e415,2,2,247,0,1,6,7,0,1,2,2,1,2,1,1,0,41326,0,5,7
c292a8b67,2,24,299,0,1,4,0,0,2,2,3,3,3,2,1,1,41345,0,2,100
88ac92eed,1,2,307,0,2,2,0,0,2,1,1,1,2,1,1,0,41326,0,4,14
615213076,1,10,20,0,2,1,2,7,2,1,1,1,3,1,1,0,41401,0,4,0
7a0942d61,2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,0,2,100
f8e0a06ca,1,72,205,0,1,2,5,0,1,2,1,1,1,1,1,0,41326,0,4,12
3d181b3c6,2,10,299,0,2,1,7,0,1,2,1,1,1,1,1,0,41326,0,1,7
1adb69797,1,1,307,0,1,1,2,7,2,2,3,3,2,1,1,0,41326,0,1,5
6a864757b,1,3,307,0,2,5,0,0,2,2,2,2,2,1,1,0,41326,0,10,82
6c054c4ef,2,1,266,0,1,1,7,0,1,1,3,3,3,1,1,0,41327,0,1,61
b08e63db8,2,3,265,265,3,1,2,7,2,2,2,2,2,1,6,0,41326,0,7,100
21b933087,2,3,266,0,2,1,2,0,2,1,2,2,3,2,1,0,41326,0,1,100
01e6a888d,1,3,307,0,3,2,5,0,2,1,1,1,2,1,4,0,41327,0,2,100
d8c1859cb,1,3,307,70,2,1,2,0,3,2,1,1,2,1,1,0,41326,0,5,17
106128c56,1,5,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,0,4,76
279a5187c,1,18,205,0,1,2,3,5,2,2,1,1,2,1,1,150,41326,0,2,4
c382bae22,1,36,307,0,1,7,0,0,2,1,1,1,2,1,1,80,41326,0,2,61
3c5e8cc5d,1,2,307,0,1,1,0,0,2,2,3,3,3,1,1,0,41324,0,1,100
57d556084,1,1,307,0,2,2,0,0,1,1,2,2,3,1,3,0,41336,0,2,33
f62e604d6,2,6,266,0,2,6,0,0,1,1,2,1,1,1,1,0,41330,0,3,78
369d96f21,2,48,264,0,3,1,7,0,3,3,1,1,2,1,3,0,41326,0,5,20
e2205b952,1,2,307,0,2,1,2,5,2,2,1,1,2,1,2,0,41326,0,7,43
1936c68a5,1,24,218,0,2,7,0,0,2,3,3,3,1,1,1,0,41326,0,1,100
e72120027,1,2,307,0,1,1,2,0,3,1,1,1,2,1,1,0,41326,0,5,27
77bb4ce3a,1,1,307,307,2,2,0,0,1,1,2,2,2,1,3,0,41326,0,12,3
1f82b8bf0,1,9,206,206,1,7,0,0,3,3,1,1,2,1,1,600,41401,0,3,12
79db05f63,2,3,266,0,2,1,2,5,2,1,1,1,2,1,1,100,41326,0,3,12
700a93465,2,5,266,0,2,1,2,6,2,1,2,2,2,1,1,0,41401,0,1,17
e27cb9ac7,2,2,266,0,1,1,6,0,1,1,2,2,2,1,1,0,41401,0,3,5
15f0dc937,2,1,292,0,3,2,6,7,1,1,2,2,2,1,4,0,41326,0,5,68
bdb89b424,2,2,266,0,1,7,0,0,2,1,2,2,2,1,1,10,41336,0,3,8
81d6d070c,2,2,266,0,2,1,7,0,2,1,2,2,2,1,1,0,41326,0,4,5
5390fc59f,1,2,307,0,1,1,7,0,2,1,2,2,2,1,1,0,41336,0,1,5
01dc16c21,1,1,307,307,1,2,0,0,1,1,3,3,2,1,1,0,41335,0,3,5
5e21ad5a7,2,2,265,0,1,7,0,0,2,2,2,2,2,1,1,0,41401,0,1,11
ae116d640,2,16,266,0,2,6,7,0,2,1,1,1,1,1,1,50,41326,0,10,100
6d67ee4d1,1,3,307,0,1,2,7,0,3,1,1,1,2,1,1,0,41326,0,16,79
d1be4f433,1,60,60,128,3,1,2,7,1,1,1,1,1,1,2,0,41326,0,4,54
ff16e6dad,1,1,307,307,1,1,2,5,2,2,1,1,2,1,1,0,41326,0,2,6
1a018ef15,1,4,103,307,2,1,3,0,3,2,1,1,2,1,1,0,41326,0,4,30
e633386b0,1,1,307,0,2,1,2,0,1,2,2,1,1,1,1,0,41326,0,1,100
76aba4871,2,108,243,0,1,3,0,0,2,2,1,3,1,1,1,0,41326,0,4,100
77a6f71e8,1,36,179,0,1,2,0,0,2,3,1,1,2,1,1,150,41401,0,3,16
7b1c82382,2,4,265,0,3,2,5,7,2,2,1,1,2,1,2,0,41401,0,11,2
164857bd8,1,3,307,141,1,3,0,0,3,1,1,1,2,1,1,0,41326,0,4,0
63051e3ca,1,9,103,0,1,1,0,0,3,1,1,1,1,1,1,300,41401,0,1,4
8a9a4edd7,2,2,266,0,1,6,7,0,2,1,2,2,2,1,1,0,41326,0,2,13
4fbe0c2e5,1,2,307,189,2,2,7,0,2,1,2,2,2,1,1,0,41401,0,3,15
5c150efc9,2,2,266,292,1,4,6,7,1,1,2,1,2,1,2,200,41326,1,6,16
6c9382d17,2,3,299,0,2,2,6,7,1,1,3,1,2,1,1,0,41326,0,4,29
5314d64ac,1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,0,41326,0,2,100
2d9bdbca9,1,2,307,141,3,2,7,0,2,1,3,3,3,1,2,0,41326,0,2,2
ae19ab91d,2,2,266,0,3,1,2,7,2,1,2,1,2,1,3,0,41326,0,3,29
9ab8dddba,1,3,307,0,1,2,0,0,2,1,1,1,2,1,1,0,41326,0,3,100
541400630,1,7,307,0,2,2,0,0,3,2,3,3,3,1,1,0,41326,0,4,100
8fd0d7864,2,10,266,0,2,6,7,0,2,1,2,2,2,1,1,0,41326,0,4,12
70aeba909,1,1,141,307,2,2,0,0,2,1,3,3,2,1,1,0,41326,0,1,47
5dc7d3dc7,2,3,266,0,1,4,0,0,2,1,1,1,2,1,1,0,41326,0,18,89
df1d3b1ec,1,0,307,0,1,2,0,0,2,1,2,2,2,1,1,50,41326,0,1,100
a3727cc47,2,7,283,0,2,1,0,0,2,1,1,1,1,1,1,0,41327,0,1,1
06db81e31,1,3,307,129,2,5,0,0,2,1,1,1,2,1,1,0,41326,0,1,26
4df0d1886,1,6,307,0,2,2,0,0,2,1,2,2,2,1,1,0,41401,0,1,100
f7554df6d,2,5,292,285,2,1,7,0,2,1,1,1,2,1,1,100,41326,0,1,22
4cbc3433e,1,2,307,307,2,1,2,0,2,2,1,1,2,1,1,0,41326,0,3,6
15e5b6d26,1,4,307,0,2,2,0,0,2,1,1,1,1,1,1,0,41401,0,9,100
039509c40,1,1,307,0,2,1,0,0,2,2,2,1,2,1,1,0,41326,0,4,7
b70ec3788,1,2,307,0,1,2,5,0,2,1,1,1,1,1,1,0,41326,0,1,12
5c039d8c1,2,3,265,265,3,1,7,0,2,2,3,3,3,1,2,0,41326,0,7,1
896e733b5,1,4,307,0,3,1,2,7,2,2,2,2,2,1,10,0,41326,0,6,100
5fe2e44a2,1,3,307,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,0,1,100
d8697f0fd,1,2,307,0,2,1,2,0,2,2,3,3,2,1,1,0,41326,0,1,75
2c46efe8f,1,6,109,307,1,2,0,0,2,2,3,3,3,1,1,0,41326,0,4,100
70c30b53f,2,0,266,0,3,2,5,7,1,1,3,3,3,1,4,0,41335,0,4,45
ba58bb1a4,2,3,243,0,3,2,4,0,1,2,2,2,2,1,2,0,41326,0,4,100
f4614847a,1,2,307,0,2,1,3,0,2,2,2,2,2,1,1,0,41326,0,3,19
752c2658d,2,2,266,0,2,1,6,7,1,1,2,1,2,1,1,0,41326,0,1,16
cbf3467d9,1,2,218,307,1,2,3,7,2,2,1,1,2,1,1,0,41326,0,5,4
cccbf8c47,1,36,307,0,1,2,0,0,2,2,2,2,2,2,1,1,41326,0,2,100
b5f846518,2,2,266,0,1,1,6,0,1,1,2,2,2,1,1,0,41326,1,4,0
696e2d638,2,2,264,264,3,1,7,0,1,3,2,2,2,1,3,0,41336,0,1,53
9e5ba0e42,2,2,285,0,2,6,0,0,2,3,1,1,2,1,1,480,41330,0,2,23
50e35cd70,1,9,205,0,1,2,7,0,1,2,3,3,1,1,1,0,41326,0,4,16
ece99daf7,2,15,283,0,2,4,7,0,2,2,2,1,1,1,1,0,41401,0,3,100
1b1a68a60,1,4,307,0,1,1,2,0,2,2,2,1,2,2,1,0,41326,0,5,25
8cf927527,1,2,307,307,1,2,3,5,1,1,2,2,3,1,3,0,41326,0,1,32
0c859ef92,2,2,266,0,1,1,0,0,1,1,2,1,2,1,1,0,41401,0,2,7
7f434b444,2,3,265,0,3,3,0,0,2,2,2,2,2,1,2,0,41401,0,3,22
ebba4f83b,1,2,307,0,1,5,0,0,2,2,3,3,3,1,1,0,41324,0,1,100
799cbc9e1,1,3,307,307,3,3,5,7,2,1,3,3,3,1,2,0,41326,0,5,21
46fdbf640,1,2,307,307,2,7,0,0,2,2,1,1,2,1,1,0,41326,0,1,45
621b83ac7,2,29,285,264,2,3,4,7,2,3,2,1,1,1,1,160,41326,2,19,59
239326fd2,1,6,307,0,1,1,7,0,2,2,1,1,3,1,1,0,41401,0,1,100
e73038b62,2,5,266,0,3,1,7,0,1,1,1,1,1,1,6,0,41326,0,5,100
0902b6664,2,4,266,0,1,6,7,0,1,1,2,2,2,1,1,0,41401,0,5,100
6460390c0,1,4,307,307,2,1,7,0,2,1,1,1,2,1,1,100,41326,0,8,100
6968f86dd,1,2,307,0,2,1,2,0,2,2,2,2,2,1,1,0,41326,0,1,83
48f2b0d54,2,2,266,0,1,1,7,0,2,2,2,1,2,1,1,0,41326,0,4,31
